word,word_count,mean_sent_length,final_count,solo_count
comido,265.0,6.87924528302,66.0,1.0
cadera,3.0,4.33333333333,3.0,0.0
pirámides,8.0,2.25,8.0,0.0
comida,659.0,7.05159332322,346.0,55.0
busque+la,1.0,1.0,1.0,1.0
puntas,22.0,9.40909090909,11.0,0.0
cohetes,2.0,1.0,2.0,2.0
maza,1.0,6.0,1.0,0.0
Gato_Presumido,2.0,3.0,2.0,0.0
demas,7.0,7.71428571429,2.0,0.0
lunáticos,16.0,8.25,10.0,0.0
jarabe,64.0,6.765625,42.0,1.0
repasado,1.0,3.0,1.0,0.0
pompas,9.0,5.66666666667,1.0,0.0
sentarce,2.0,2.0,2.0,0.0
merendemos,2.0,5.0,0.0,0.0
montaste,20.0,6.7,8.0,0.0
lechuga,162.0,5.32716049383,107.0,35.0
j,22.0,3.95454545455,10.0,2.0
aburrirán,2.0,4.0,0.0,0.0
martillazos,1.0,10.0,0.0,0.0
cahofa,2.0,1.0,2.0,2.0
ética,2.0,5.5,2.0,0.0
duro,90.0,5.63333333333,59.0,2.0
pii,2.0,6.0,0.0,0.0
jamón,144.0,5.35416666667,75.0,16.0
pik,1.0,21.0,0.0,0.0
pil,2.0,3.0,2.0,0.0
colota,1.0,2.0,0.0,0.0
paralos,1.0,8.0,0.0,0.0
pic,18.0,2.55555555556,15.0,4.0
pie,358.0,7.3156424581,188.0,4.0
dura,37.0,7.51351351351,14.0,0.0
seguramente,15.0,10.6,5.0,0.0
pix,2.0,2.0,2.0,0.0
zoolóxico,2.0,5.0,2.0,0.0
paraguas,51.0,7.54901960784,24.0,2.0
pitando,8.0,4.5,2.0,0.0
monstruos,47.0,8.97872340426,25.0,0.0
paraguay,1.0,9.0,1.0,0.0
families,1.0,5.0,1.0,0.0
duru,2.0,2.0,2.0,0.0
pis,263.0,6.09505703422,159.0,11.0
pit,1.0,4.0,0.0,0.0
piu,2.0,4.0,1.0,0.0
tetita,1.0,9.0,1.0,0.0
motores,18.0,6.88888888889,12.0,0.0
pulseras,12.0,5.0,7.0,0.0
padriño,10.0,7.6,4.0,0.0
tócache,4.0,2.5,2.0,0.0
mazá,28.0,5.10714285714,18.0,2.0
mmenos,1.0,16.0,0.0,0.0
micto,1.0,2.0,1.0,0.0
burros,6.0,5.0,6.0,0.0
petatas,2.0,3.0,2.0,0.0
aprendido,39.0,7.12820512821,13.0,0.0
canica,8.0,5.25,4.0,2.0
fixestes,4.0,4.5,0.0,0.0
alcázar,3.0,8.0,2.0,0.0
ningún,157.0,9.22929936306,7.0,0.0
Nesqui,2.0,1.0,2.0,2.0
caltas,4.0,8.0,0.0,0.0
yelo,2.0,4.0,2.0,0.0
pizina,4.0,8.0,2.0,0.0
Dalmatas,1.0,5.0,0.0,0.0
