word,word_count,mean_sent_length,final_count,solo_count
buse,4.0,1.5,4.0,2.0
tyck,2.0,1.0,2.0,2.0
från,206.0,8.32038834951,2.0,0.0
katt+mat,6.0,6.33333333333,0.0,0.0
platt,20.0,4.3,10.0,0.0
älvorna,4.0,15.0,0.0,0.0
plats,293.0,7.40614334471,116.0,0.0
bensin,10.0,4.6,6.0,0.0
dansa,29.0,6.86206896552,7.0,0.0
lyssna,44.0,7.68181818182,2.0,0.0
hatt+jakten,2.0,20.0,0.0,0.0
grimman,8.0,4.25,4.0,0.0
varsågod,20.0,2.25,16.0,9.0
Skåne,8.0,10.0,4.0,0.0
kallt,91.0,9.05494505495,24.0,0.0
poff,1.0,18.0,0.0,0.0
segel+färd,2.0,2.0,2.0,0.0
höst,6.0,8.33333333333,2.0,0.0
kalla,7.0,8.0,2.0,0.0
Kungälv,8.0,4.75,2.0,0.0
blev,178.0,6.15730337079,67.0,0.0
blomman,48.0,6.20833333333,16.0,0.0
flagga,6.0,6.0,0.0,0.0
skulle,817.0,8.70869033048,6.0,0.0
nolla,2.0,7.0,2.0,0.0
skriva,32.0,6.125,6.0,0.0
motor+cykel,36.0,5.0,26.0,8.0
bygger,104.0,8.09615384615,18.0,0.0
jahaha,310.0,2.58709677419,184.0,182.0
Afrika,10.0,5.8,4.0,0.0
John,24.0,4.66666666667,4.0,2.0
skaver,2.0,21.0,0.0,0.0
udugdugdugdugdugdug,1.0,1.0,1.0,1.0
Peugeon,8.0,2.0,6.0,4.0
gödnings+medel,2.0,1.0,2.0,2.0
menö,2.0,1.0,2.0,2.0
ringt,2.0,10.0,0.0,0.0
risefrutti,2.0,9.0,2.0,0.0
hämpe,4.0,4.0,0.0,0.0
figur,6.0,9.66666666667,2.0,0.0
sista,54.0,6.2962962963,5.0,0.0
hämpa,2.0,6.0,0.0,0.0
krocka,12.0,5.0,6.0,0.0
råtta,26.0,6.76923076923,14.0,0.0
ringa,45.0,7.44444444444,8.0,0.0
hoppla,4.0,2.5,0.0,0.0
äpplen,23.0,10.5652173913,6.0,0.0
köja,2.0,2.0,2.0,0.0
taack,4.0,1.0,4.0,4.0
bestämma,34.0,7.41176470588,14.0,0.0
Linneas,2.0,7.0,0.0,0.0
äpplet,16.0,9.25,8.0,0.0
veet,2.0,7.0,0.0,0.0
huvudet,16.0,11.0625,9.0,0.0
nallens,12.0,6.5,0.0,0.0
Ingelas,2.0,4.0,0.0,0.0
asken,6.0,6.66666666667,2.0,0.0
vatten+pistol,2.0,3.0,2.0,0.0
huvuden,2.0,7.0,2.0,0.0
rena,4.0,7.5,0.0,0.0
kälke,8.0,6.25,4.0,0.0
annanstans,12.0,12.0,10.0,0.0
matte,8.0,12.25,4.0,0.0
musse+figurer,2.0,33.0,0.0,0.0
matta,10.0,4.4,8.0,6.0
smittad,4.0,5.0,2.0,0.0
pra,4.0,2.0,2.0,2.0
ekipage,2.0,7.0,2.0,0.0
fra,2.0,8.0,0.0,0.0
gömme,4.0,3.5,2.0,0.0
gömma,31.0,10.1935483871,0.0,0.0
kojan,11.0,7.63636363636,4.0,0.0
hängslen,6.0,5.66666666667,2.0,0.0
sprutorna,2.0,1.0,2.0,2.0
gissa,31.0,4.96774193548,14.0,2.0
filmar,72.0,3.80555555556,22.0,0.0
fry,1.0,4.0,0.0,0.0
Bella_bok,2.0,6.0,2.0,0.0
ann,2.0,8.0,0.0,0.0
filmat,4.0,8.0,2.0,0.0
jul+aftons,2.0,9.0,0.0,0.0
pangar,4.0,2.5,4.0,0.0
ää,12.0,9.66666666667,2.0,2.0
jasså,4.0,1.0,4.0,4.0
arg+sinta,2.0,10.0,0.0,0.0
kaffe+kopp,6.0,5.66666666667,2.0,0.0
spik,10.0,10.2,2.0,0.0
spegel,6.0,7.66666666667,4.0,0.0
pytt,6.0,4.33333333333,2.0,0.0
äpplena,6.0,4.66666666667,6.0,0.0
snäll,146.0,6.51369863014,56.0,0.0
snorig,1.0,3.0,1.0,0.0
hållt,2.0,13.0,0.0,0.0
vinkar,35.0,6.97142857143,10.0,0.0
skägg,52.0,5.84615384615,30.0,2.0
hålla,314.0,7.77388535032,10.0,0.0
betar,10.0,5.0,10.0,0.0
klarade,4.0,7.0,0.0,0.0
lång+tradare,4.0,7.0,2.0,0.0
armband,1.0,3.0,0.0,0.0
betax,2.0,6.0,0.0,0.0
alltsammans,4.0,3.5,0.0,0.0
hus+väggen,2.0,41.0,0.0,0.0
pokus,3.0,2.33333333333,2.0,0.0
älgen,2.0,5.0,0.0,0.0
förvånad,8.0,9.75,4.0,0.0
äng,2.0,16.0,0.0,0.0
fotot,4.0,6.0,0.0,0.0
jul+ljusen,2.0,5.0,2.0,0.0
frå,4.0,9.5,0.0,0.0
grisar,29.0,3.79310344828,13.0,4.0
vrida,44.0,7.79545454545,4.0,0.0
drag+spel,2.0,2.0,2.0,0.0
hnjaa,2.0,1.0,2.0,2.0
hupp,12.0,2.83333333333,8.0,8.0
hups,4.0,3.5,4.0,2.0
Tom,12.0,3.0,4.0,2.0
omkring,21.0,8.09523809524,10.0,0.0
än,157.0,9.28025477707,43.0,4.0
elefant,91.0,5.49450549451,53.0,8.0
äm,2.0,10.0,0.0,0.0
äpa,2.0,4.0,0.0,0.0
äh,93.0,5.60215053763,58.0,50.0
kaffe+kalaset,2.0,4.0,2.0,0.0
pållar,2.0,6.0,0.0,0.0
sväljer,2.0,6.0,0.0,0.0
buss+hjälm,2.0,2.0,2.0,0.0
äv,2.0,7.0,0.0,0.0
drag+kroken,2.0,10.0,0.0,0.0
är,845.0,6.98698224852,20.0,0.0
äs,2.0,10.0,0.0,0.0
äp,2.0,8.0,0.0,0.0
vax+duk,2.0,18.0,0.0,0.0
ännumera,2.0,4.0,2.0,0.0
spännande,47.0,6.48936170213,22.0,2.0
kisse+missen,18.0,5.22222222222,10.0,2.0
Gunilla,2.0,10.0,0.0,0.0
vänster+arm,2.0,4.0,2.0,0.0
xylofonen,2.0,8.0,2.0,0.0
fortsatte,2.0,15.0,0.0,0.0
mockasinerna,2.0,7.0,0.0,0.0
slägga,2.0,14.0,2.0,0.0
krok,4.0,10.5,2.0,0.0
rid+huset,22.0,7.45454545455,16.0,0.0
hah,8.0,2.0,8.0,6.0
haj,21.0,7.52380952381,9.0,1.0
fågel+ungarna,6.0,7.66666666667,2.0,2.0
ham,4.0,9.5,0.0,0.0
han,9843.0,6.54383826069,992.0,16.0
hao,4.0,3.0,4.0,2.0
haa,980.0,2.44693877551,704.0,700.0
jätte+ont,10.0,7.4,2.0,0.0
pappa+gris,2.0,2.0,2.0,0.0
hae,2.0,1.0,2.0,2.0
hax,156.0,6.61538461538,6.0,0.0
jul+fest,2.0,2.0,2.0,0.0
tretti,2.0,8.0,2.0,0.0
huvud,18.0,4.55555555556,18.0,0.0
hette,94.0,6.23404255319,12.0,0.0
har,9608.0,7.22085761865,280.0,4.0
tvillingar,6.0,6.66666666667,2.0,0.0
jätte+konsti,2.0,4.0,0.0,0.0
bebi+kläderna,2.0,6.0,2.0,0.0
jule+gubben,2.0,8.0,2.0,0.0
kök,4.0,9.0,2.0,0.0
bensinen,4.0,12.5,0.0,0.0
älskar,10.0,4.8,0.0,0.0
vattna,8.0,9.5,0.0,0.0
dagar,4.0,12.0,2.0,0.0
johohoho,4.0,1.0,4.0,4.0
köp,8.0,5.25,2.0,0.0
älskax,2.0,7.0,0.0,0.0
kniper,4.0,5.5,0.0,0.0
tågen,4.0,8.0,4.0,0.0
skakade,2.0,11.0,0.0,0.0
plingax,2.0,5.0,0.0,0.0
tåget,119.0,5.57142857143,46.0,6.0
kol+svart,2.0,23.0,0.0,0.0
plingar,2.0,12.0,0.0,0.0
vats,2.0,10.0,0.0,0.0
delade,2.0,4.0,0.0,0.0
rörelserna,2.0,15.0,2.0,0.0
fot,11.0,8.0,2.0,0.0
blomma,113.0,5.30973451327,64.0,8.0
Onsala,2.0,2.0,2.0,0.0
pojken,234.0,7.09401709402,76.0,6.0
for,19.0,6.73684210526,0.0,0.0
tråkia,4.0,8.5,2.0,0.0
haä,4.0,6.5,0.0,0.0
Abbi,70.0,6.91428571429,18.0,2.0
bokstäverna,2.0,5.0,2.0,0.0
slått,16.0,6.25,0.0,0.0
väller,2.0,5.0,0.0,0.0
annan,365.0,7.44383561644,32.0,4.0
lamlade,4.0,2.0,4.0,0.0
högst,10.0,7.4,0.0,0.0
sjöhästar,1.0,13.0,0.0,0.0
jätte+snäll,4.0,5.5,4.0,0.0
lilla+syster,40.0,5.45,16.0,4.0
diska,16.0,7.375,2.0,0.0
schyst,1.0,2.0,1.0,0.0
annat,128.0,8.328125,34.0,0.0
samovaren,6.0,8.0,4.0,0.0
klubber,4.0,6.0,0.0,0.0
Lufsen,4.0,3.0,4.0,0.0
o,106.0,4.98113207547,24.0,20.0
släpp,26.0,4.30769230769,8.0,4.0
gnisslande,2.0,9.0,0.0,0.0
filiokus,3.0,1.66666666667,3.0,2.0
lant+gården,2.0,7.0,0.0,0.0
rev,6.0,6.0,0.0,0.0
uppåt,1.0,7.0,1.0,0.0
