I,airplane,all,all gone,animal,another,apple,arm,asleep,aunt,away,baa baa,baby,baby sitter,back,backyard,bad,ball,balloon,banana,bath,bath tub,bathroom,beach,beads,bear,bed,bedroom,bee,belly button,bib,bicycle,big,bird,bite,blanket,block,blow,blue,book,boots,bottle,bowl,box,boy,bread,break,breakfast,bring,broken,broom,brother,brush,bubbles,bug,bump,bunny,bus,butter,butterfly,button,bye,cake,candy,car,careful,carrots,cat,cereal,chair,cheek,cheerios,cheese,chicken,child,choo choo,church,clean,clock,close,coat,coffee,cold,comb,cookie,couch,cow,cracker,crib,cry,cup,cute,daddy,dance,dark,day,deer,diaper,dinner,dirty,dish,dog,doll,don't,donkey,door,down,draw,drawer,dress,drink,drive,dry,duck,ear,eat,egg,elephant,empty,eye,face,fall,fast,feed,fine,finger,finish,fire truck,fish,flower,food,foot,fork,frog,garage,garden,gentle,get,giraffe,girl,give,glass,glasses,go,good,goose,grandma,grandpa,grr,hair,hammer,hand,happy,hard,hat,head,hello,help,her,hi,highchair,his,hit,home,horse,hot,house,how,hug,hungry,hurry,hurt,ice cream,in,inside,it,jacket,jeans,juice,jump,keys,kick,kiss,kitchen,kitty,knee,lady,lamb,lamp,later,leg,light,lion,little,livingroom,look,love,lunch,man,me,meat,medicine,meow,milk,mine,mommy,money,monkey,moo,moon,more,morning,motorcycle,mouse,mouth,my,nap,naughty,necklace,nice,night,night night,no,none,noodles,nose,not,now,off,old,on,open,orange,other,ouch,out,outside,oven,owie,owl,pajamas,pants,paper,park,party,pattycake,peas,peekaboo,pen,penguin,penny,people,person,picture,pig,pillow,pizza,plant,plate,play,please,pony,pool,potty,pretty,pull,puppy,purse,push,put,quack quack,radio,rain,raisin,read,red,refrigerator,ride,rock,rocking chair,run,same,say,scared,school,scissors,see,sheep,shh,shirt,shoe,shorts,shovel,show,sick,sing,sink,sister,sky,sleep,sleepy,slide,smile,snow,soap,sock,soft,some,spaghetti,splash,spoon,squirrel,stairs,star,stop,store,stove,stroller,sun,sweater,swim,swing,table,take,teacher,teddy bear,telephone,thank you,that,there,thirsty,this,throw,tickle,tiger,tired,toast,today,toe,tomorrow,tongue,tonight,tooth,toothbrush,touch,towel,toy,train,trash,tree,truck,tummy,turkey,turtle,tv,uh oh,uncle,under,up,vacuum,vroom,wait,walk,wanna,wash,watch,water,wet,what,when,where,who,why,window,wipe,woof woof,work,write,yes,you,your,yucky,yum yum,zipper,zoo
4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,7,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,6,1,0,0,0,0,0,0,2,1,0,2,3,0,1,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,2,4,1,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,9,1,3,4,0,0,0,0,0,0,1,37,8,0,0,0,0
14,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,6,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,3,1,0,6,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,7,6,0,2,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,0,0,0,0,0,2,0,0,14,1,1,3,3,0,0,0,0,0,2,47,12,0,0,0,0
13,0,8,0,0,0,0,0,2,0,0,0,8,0,1,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,10,0,0,0,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,16,0,1,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,6,0,1,0,9,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,4,0,0,0,0,2,1,0,0,1,0,0,11,0,25,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,2,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,2,0,2,3,0,16,0,0,1,5,2,2,0,6,0,1,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,5,2,0,0,0,0,4,1,1,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,9,5,0,5,0,0,0,2,0,1,0,0,0,0,0,0,1,2,2,4,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,19,1,6,2,1,1,0,0,0,0,0,75,26,0,0,1,0
4,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,7,0,0,1,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,16,5,0,1,0,0,0,2,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,13,1,2,10,2,0,0,0,0,0,2,64,11,0,0,0,0
12,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,9,0,0,0,4,9,1,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,8,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,5,0,6,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,1,1,1,6,1,12,0,1,4,0,0,0,0,0,0,4,56,6,0,0,0,0
6,0,8,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,3,0,3,0,1,0,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,2,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,1,3,3,1,11,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,7,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,3,0,1,1,0,3,0,17,1,0,4,3,0,0,0,0,0,6,53,15,0,0,0,0
1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,2,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,1,0,0,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,16,0,13,3,1,0,0,0,1,1,0,30,19,0,0,0,0
19,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,3,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10,0,0,0,0,3,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,22,0,0,0,11,2,2,1,11,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,0,9,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,3,0,1,0,0,9,2,1,0,5,0,0,0,0,4,5,56,11,0,0,0,0
3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6,1,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,15,2,4,1,2,0,0,0,0,0,0,26,6,0,0,0,0
63,0,3,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,3,4,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,35,0,0,11,0,0,3,3,0,0,0,0,6,0,1,0,4,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,3,6,2,0,19,17,0,0,0,0,4,0,1,5,0,0,5,1,0,33,2,0,6,3,1,0,0,0,36,0,3,0,5,0,37,0,69,0,0,0,0,0,0,2,1,2,3,2,0,0,1,1,0,0,2,0,7,5,0,0,45,0,0,0,2,0,0,17,0,0,0,6,3,0,0,2,13,1,0,0,3,0,0,34,0,0,4,11,15,3,8,25,1,1,1,1,5,1,0,0,0,2,2,1,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,9,3,3,0,0,6,3,0,0,1,3,0,0,0,0,0,2,1,2,0,0,2,0,22,0,0,0,16,0,0,0,0,0,0,3,3,5,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,5,1,0,0,0,2,2,1,4,0,0,1,0,29,17,0,13,1,0,0,20,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,0,0,1,1,3,1,1,8,0,127,11,17,26,19,0,2,0,4,0,13,292,53,0,0,0,0
4,0,8,0,0,1,0,0,0,0,0,0,16,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,14,0,0,3,0,0,0,2,0,0,2,0,1,0,1,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,7,0,0,0,7,11,0,0,0,0,0,0,2,1,0,0,2,0,0,7,0,0,8,0,0,0,0,1,7,0,1,0,0,0,11,0,18,0,0,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,7,0,10,0,0,1,10,0,0,0,8,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,4,1,0,16,0,0,2,8,4,0,0,16,2,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,6,0,0,1,0,0,1,0,12,0,3,0,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,21,5,0,20,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,12,0,0,0,0,5,0,0,0,0,27,2,3,1,4,0,0,0,0,0,1,74,33,0,0,0,0
18,0,4,0,3,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,17,0,0,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,17,4,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,3,0,11,0,32,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,5,0,1,0,0,1,11,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,11,0,0,0,1,0,0,12,0,0,1,7,7,1,0,15,0,0,1,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1,10,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,24,9,0,9,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1,2,0,53,1,5,1,3,0,0,0,0,5,2,96,19,0,0,0,0
6,0,8,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,7,2,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,9,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,1,0,10,0,0,5,8,3,1,1,2,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,7,0,0,0,0,0,0,1,46,5,0,0,0,0
20,0,8,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,18,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,1,0,0,2,0,1,0,4,0,5,0,14,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,1,0,1,0,2,2,0,18,0,0,0,6,0,0,0,17,0,1,0,0,11,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,0,4,0,0,0,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,2,0,2,0,0,25,6,3,2,1,0,0,0,0,0,2,87,9,0,0,0,0
14,0,5,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,13,2,0,0,0,0,3,0,1,0,0,2,2,0,0,1,0,0,1,0,1,0,3,1,3,0,0,0,0,0,10,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,2,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,5,0,0,1,2,5,1,0,11,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,3,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,31,3,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,3,1,43,3,3,12,6,0,0,0,1,0,2,78,16,0,0,0,0
23,0,4,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,27,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,9,0,3,1,0,0,4,2,0,0,0,0,5,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,4,0,2,0,0,1,0,0,18,0,32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,13,0,0,1,2,3,2,0,9,0,0,2,0,12,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,23,8,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,6,0,17,3,28,2,3,1,7,3,0,0,3,0,1,79,23,0,0,0,0
