"lexical_class","uni_lemma","valence","arousal","dominance"
"nouns","computer",6.84,4.92,6.58
"verbs","cook",7.12,4.33,6.25
"nouns","cookie",7.32,4.7,6.1
"nouns","corn",5.95,3.43,5.65
"nouns","corridor",4.76,3.53,5.35
"nouns","cottage cheese",5.19,4.37,4.72
"nouns","couch",6.52,3.4,6.19
"verbs","cough",3.57,4.5,4.25
"function_words","could",NA,NA,NA
"verbs","count",5.89,2.3,5.17
"nouns","country",6.14,3.71,6.35
"other","country",6.14,3.71,6.35
"other","country house",NA,NA,NA
"other","cousin",6.11,2.6,5.28
"nouns","cover",5.59,3.76,5.78
"verbs","cover",5.59,3.76,5.78
"nouns","cow",5.42,2.95,5.24
"other","cowboy",5.43,4.43,5.67
"nouns","cracker",5.11,3.64,5.26
"nouns","cradle",6.1,3.67,4.86
"verbs","crawl",3.95,3.62,4.95
"nouns","crayon",5.76,2.91,5.93
"nouns","crib",6.43,4.26,4.77
"other","croak",3.29,4.52,3.58
"nouns","crocodile",3.15,6.48,3.47
"nouns","crow",4.32,3.55,5.4
"verbs","cry",3.22,5.45,2.56
"nouns","cucumber",6.47,3.17,5.86
"nouns","cup",5.94,2.6,5.28
"nouns","cupboard",4.81,3.52,5.65
"nouns","curtain",5.36,3.62,6.29
"verbs","cut",3.9,5.07,4.55
"other","cut it out",4.73,4.14,5.06
"adjectives","cute",7.56,5.05,6.02
"nouns","cutlet",NA,NA,NA
"other","daddy",7.27,4.24,5.78
"verbs","dance",7.27,5.48,6.28
"adjectives","dark",5.08,4.09,4.61
"adverbs","darkly",5.08,4.09,4.61
"other","daughter",6.73,5,5.06
"other","day",6.36,3.62,5.59
"nouns","deer",6.89,3.95,4.89
"verbs","descend",4.67,3.17,5.4
"nouns","diaper",3.71,3.41,4.14
"function_words","did/did ya",NA,NA,NA
"verbs","die",1.67,6.9,3.28
"adjectives","different",5.91,3.95,6.47
"verbs","dig",5.28,3.67,4.67
"other","dinner",6.4,3.85,6.05
"adverbs","dirtily",3.17,5.05,5.05
"adjectives","dirty",3.17,5.05,5.05
"nouns","dish",5.7,3.57,5.5
"function_words","do",5.41,3.67,6.35
"verbs","do",5.41,3.67,6.35
"other","doctor",5.93,4.05,4.69
"function_words","does",NA,NA,NA
"nouns","dog",7,5.43,5.73
"nouns","doll",5.88,3.51,5.66
"function_words","don't",NA,NA,NA
"other","don't",3.42,4.32,4.5
"nouns","donkey",6.29,2.9,5.12
"nouns","donut",NA,NA,NA
"nouns","door",5.43,3.19,6.1
"function_words","down",NA,NA,NA
"function_words","down (stairs)",NA,NA,NA
"other","downtown",NA,NA,NA
"verbs","draw",6.18,3.6,6.37
"nouns","drawer",4.67,3,5.71
"nouns","dress",6.42,4.73,6.64
"verbs","dress (action)",6.42,4.73,6.64
"nouns","dress (object)",6.42,4.73,6.64
"verbs","drink (action)",6.67,5.19,5.87
"nouns","drink (beverage)",6.67,5.19,5.87
"verbs","drip",5.52,3.7,4.11
"other","drip drop",5.52,3.7,4.11
"verbs","drive",6.5,4.19,5.67
"verbs","drop",4.23,4.67,4.82
"nouns","drum",6.05,4.67,5.65
"verbs","dry (action)",4.86,3.8,6.21
"adjectives","dry (description)",4.86,3.8,6.21
"nouns","dryer",5.21,2.43,4.57
"adverbs","dryly",NA,NA,NA
"nouns","duck",6.11,4,5.3
"verbs","dump",3.73,3.67,4.5
"nouns","dust",3.72,3.45,4.56
"nouns","dustpan",4.67,2.86,5.36
"function_words","each",NA,NA,NA
"nouns","ear",5.86,3.5,6.74
"other","early",NA,NA,NA
"nouns","earth",6.83,5.04,5.69
"adjectives","easy",7.47,3.82,6.79
"verbs","eat",7.1,4.38,7.26
"verbs","eat breakfast",7.39,5,6.83
"verbs","eat dinner",6.4,3.85,6.05
"nouns","egg",5.95,3.28,5.74
"nouns","elephant",6.17,4.23,4.23
"nouns","elevator",5.95,3.65,4.92
"nouns","elk",5.81,3.48,4.67
"adjectives","empty",3.78,2.25,3.61
"function_words","enough",6.1,3.17,6
"verbs","enter",6.09,4.3,6.79
"other","evening",7.09,3.1,5.22
"function_words","every",NA,NA,NA
"function_words","everyone",NA,NA,NA
"nouns","eye",6.18,3.95,5.72
"nouns","eyebrows",NA,NA,NA
"nouns","eyelashes",NA,NA,NA
"nouns","face",6.36,4.59,5.96
"verbs","fall",3.89,4.24,3.83
"other","family",7.25,4.35,5.98
"function_words","far",NA,NA,NA
"other","farm",6.22,3.05,6.08
"adjectives","fast",6.08,5.16,6.18
"adjectives","fat",2.74,3.89,4
"other","father's name",NA,NA,NA
"nouns","faucet",5.55,3.53,6.31
"nouns","fawn",6.15,3.92,5.73
"verbs","feed",6.95,4.55,6.79
"nouns","feet",4.68,2.77,5.97
"nouns","field",5.73,3.84,5.74
"verbs","fight",3.54,6.33,4.68
"verbs","find",6.45,3.52,6.24
"adjectives","fine",6.5,3.86,5.78
"nouns","finger",5.8,4.15,5.32
"verbs","finish",6.41,3.81,6.44
"adjectives","finished",6.41,3.81,6.44
"nouns","fir",5,3,5.5
"nouns","fire",4.32,6.05,4.57
"other","fireman",6.47,4.52,5
"nouns","fireplace",5.95,5.2,5.56
"nouns","firetruck",6.47,4.52,5
"nouns","firewood",6.09,4.58,5.95
"adjectives","first",7.33,4.9,6.38
"nouns","fish (animal)",6.42,3.33,6.08
"nouns","fish (food)",6.42,3.33,6.08
"verbs","fit",6.28,4.35,6.11
"function_words","five",5.4,3.55,5.65
"verbs","fix",6.11,3.6,6.72
"nouns","flag",6.1,3.74,5.56
"verbs","flee",3.84,4.95,5
"verbs","flip",5.6,4.62,5.32
"nouns","floor",5.14,3.33,6.39
"nouns","flower",7.3,3.67,6.43
"nouns","flowerpot",5.81,4,6
"nouns","fly",6.06,4.9,5.28
"verbs","fly",6.06,4.9,5.28
"verbs","fly (action)",6.06,4.9,5.28
"nouns","food",7.52,4.69,6.08
"nouns","foot",4.68,2.77,5.97
"function_words","for",NA,NA,NA
"nouns","forehead",5.04,3.14,6.5
"nouns","fork",5.47,3.35,6.02
"function_words","forward",NA,NA,NA
"function_words","four",5.26,3.39,5.65
"nouns","fox",5.52,4.36,5.5
"nouns","french fries",NA,NA,NA
"other","friend",6.79,4.29,6.31
"other","friends' names",NA,NA,NA
"nouns","frog",5.84,4.07,5.5
"function_words","from here",NA,NA,NA
"function_words","from there",NA,NA,NA
"function_words","front",NA,NA,NA
"nouns","frost",6.15,4.61,5
"nouns","fruit",7,4.09,6.12
"adjectives","full",6,3.48,6.06
"adjectives","funny",7.59,5.38,6.33
"nouns","furniture",5.79,3.05,5.43
"nouns","game",6.79,5.05,5.84
"nouns","garage",5.5,4.1,6.11
"other","garage",5.5,4.1,6.11
"nouns","garbage",2.88,3.84,5.15
"nouns","garden",7.25,3.71,6.13
"other","garden",7.25,3.71,6.13
"other","gas station",NA,NA,NA
"adjectives","gentle",7.42,3.17,6.95
"verbs","get",6.09,3.67,5.65
"verbs","get off",NA,NA,NA
"verbs","get up",6.57,3.8,5.71
"verbs","get wet",NA,NA,NA
"nouns","giraffe",6.52,2.91,5.27
"other","girl",7.15,5.23,5.27
"verbs","give",7.73,4.57,5.72
"other","give me five",NA,NA,NA
"nouns","glass",5.48,3.14,5.42
"nouns","glasses",5.09,3.39,5.68
"nouns","gloves",5.2,3.17,5.75
"nouns","glue",4.85,3.75,5.43
"verbs","go",6.32,4.86,5.33
"other","go eat",NA,NA,NA
"other","go for a walk",NA,NA,NA
"verbs","go out",NA,NA,NA
"other","go potty",4.29,2.83,5.39
"other","go to bed",NA,NA,NA
"other","go-ahead",NA,NA,NA
"other","goal",6.79,4.67,6.57
"nouns","goat",5.3,2.94,5.17
"other","gobble gobble",5.9,3.45,5.59
"other","godfather",6.24,2.83,4.78
"other","godmother",6.52,4.95,5.56
"other","gonna get you",NA,NA,NA
"function_words","gonna/going to",NA,NA,NA
"adjectives","good",7.89,3.66,6.41
"other","good boy/girl",7.89,3.66,6.41
"other","good morning",6.25,3.86,6.54
"other","good night",6.25,3.86,6.54
"nouns","goose",5.68,3.29,4.76
"function_words","gotta/got to",NA,NA,NA
"verbs","grab",5.44,4.5,5.28
"other","grandma",7.5,3.2,5.39
"other","grandpa",7.43,3.7,5.05
"nouns","grapes",6.7,3.5,5.88
"nouns","grass",6.47,3.39,5.67
"other","great grandma",6.33,2.62,6.04
"other","great grandpa",7.1,3.67,5.36
"adjectives","green",6.29,4.07,5.64
"nouns","green beans",NA,NA,NA
