"iconicity","babiness","uni_lemma","lexical_class"
NA,NA,"swing (action)","verbs"
1.2,4.3,"take","verbs"
0.785714,3.5,"throw","verbs"
2.14286,6.84211,"tickle","verbs"
0.823529,6.4,"touch","verbs"
NA,NA,"watch (action)","verbs"
0.727273,4.53846,"walk","verbs"
1.46154,5.45455,"wash","verbs"
2,8.26667,"wipe","verbs"
1.18182,1.35714,"write","verbs"
-0.153846,3.33333,"day","other"
-0.3,1.90909,"later","other"
-1.8,3.58333,"morning","other"
1.09091,3.8,"night","other"
1.46154,2.66667,"now","other"
0.416667,2.71429,"today","other"
1.7,2.13333,"tomorrow","other"
0.615385,2.5,"tonight","other"
NA,NA,"all gone","adjectives"
0.454545,7.19048,"asleep","adjectives"
0.5625,3.41667,"bad","adjectives"
NA,NA,"big","adjectives"
-0.0666667,7.33333,"blue","adjectives"
1.5,2,"broken","adjectives"
NA,NA,"careful","adjectives"
NA,NA,"clean (description)","adjectives"
1.5,2.5,"cold","adjectives"
2.08333,8.8,"cute","adjectives"
1.18182,1.36364,"dark","adjectives"
1,6.46154,"dirty","adjectives"
NA,NA,"dry (description)","adjectives"
0.8,2.38095,"empty","adjectives"
2.16667,2,"fast","adjectives"
-0.461538,3,"fine","adjectives"
2.64286,7.27273,"gentle","adjectives"
0.928571,4,"good","adjectives"
2.07692,6.90909,"happy","adjectives"
3.69231,2.16667,"hard","adjectives"
2,1.9,"hot","adjectives"
1.28571,6.16667,"hungry","adjectives"
0.9,3.3,"hurt","adjectives"
1.15,7.5,"little (description)","adjectives"
0.4,5.5,"naughty","adjectives"
0.8125,5.875,"nice","adjectives"
1.26667,1.45455,"old","adjectives"
2,5.6875,"pretty","adjectives"
1.83333,2,"red","adjectives"
1.38462,4.94737,"scared","adjectives"
2,5.6,"sick","adjectives"
1.41667,6.7,"sleepy","adjectives"
2.33333,7.4375,"soft","adjectives"
1.76471,4.45455,"thirsty","adjectives"
0.166667,4.25,"tired","adjectives"
2.25,6.58824,"wet","adjectives"
3.46154,5.3,"yucky","adjectives"
0.588235,4.73684,"his","function_words"
0.7,5.36364,"her","function_words"
3.18182,2.23529,"i","function_words"
1,2.23077,"it","function_words"
0.6,2.2,"me","function_words"
1.5,3.18182,"mine","function_words"
1.5,4.5,"my","function_words"
-0.0625,1.53846,"that","function_words"
0.133333,2.3,"this","function_words"
-0.4,2.54545,"you","function_words"
0,2.33333,"your","function_words"
0.461538,3.58333,"how","function_words"
0.142857,4.36364,"what","function_words"
-1.125,2.75,"when (question)","function_words"
-0.818182,2.38889,"where (question)","function_words"
1.375,2.7,"who","function_words"
0.769231,3.4,"why","function_words"
0.75,1.91667,"away","function_words"
0.4,3.5,"back","function_words"
1.90909,2,"down","function_words"
1.46154,3.08333,"in","function_words"
0.9,2.5,"inside","function_words"
1.9,1.8,"off","function_words"
0.916667,2,"on","function_words"
0.923077,1.78571,"out","function_words"
0.461538,2.23077,"there","function_words"
1.17647,2.18182,"under","function_words"
1.33333,3,"up","function_words"
-0.1,2.1875,"all","function_words"
0.117647,2.13333,"another","function_words"
1.125,3.1875,"more","function_words"
0.833333,1.28571,"none","function_words"
1.38462,1.91667,"not","function_words"
-0.0833333,1.92308,"other","function_words"
0,2.25,"same","function_words"
0.5,1.6,"some","function_words"
