word,mean,median,var,count
please,0.0589554913622,0.126469299212,0.166642929507,23
supposed,0.0617565035309,0.0289452828331,0.145831294347,23
idea,0.0630512883749,0.216552027461,0.247802527842,23
let,0.0632737992846,0.021194131595,0.167947897968,23
today,0.0644532347144,0.110296930324,0.0786916383551,23
mustn't,0.0656782741881,0.0818459139522,0.251297933619,16
mean,0.0659358775771,0.0286855754601,0.141350545113,23
break,0.0674388574932,0.0829957813291,0.214126506419,23
later,0.0686258843197,0.0334428875358,0.231099810158,23
you'd,0.0691673967214,0.0339453534257,0.159196929205,23
unless,0.0717776405886,0.0318772753222,0.322687871933,23
already,0.0744911140718,0.0357614991917,0.116348334897,23
whether,0.0763742363635,0.122170643309,0.254419265619,22
really,0.076575696467,0.131378659731,0.122082096916,23
still,0.0770575013147,0.052488669783,0.150773631587,23
use,0.0793970689295,0.152369227224,0.141828885828,23
quite,0.0825489750954,-0.0383764257496,0.329793814373,23
taking,0.086010465594,0.121453803952,0.163441122708,23
enough,0.086214533076,0.0236246360601,0.158078887405,23
whole,0.0918165775306,-0.0695009419061,0.364511993851,23
soon,0.0945367766151,0.12529447496,0.233600551052,22
move,0.095599841766,0.125429815539,0.175350374208,23
having,0.0957241538499,-0.0398450780892,0.218405727278,23
fall,0.0961487134201,0.135953912224,0.242083701796,23
anymore,0.0962124653363,-0.0302383778056,0.434036331281,22
seem,0.0964455053573,0.00990147181006,0.323699285427,21
wanna,0.0987969086754,0.038734743312,0.284521949922,19
forget,0.0997811505539,0.108774408068,0.290645793254,23
play,0.100844172515,0.112908110227,0.0920581980822,23
hear,0.10162566974,-0.0534091479614,0.33399009348,23
understand,0.102723714488,0.13252392731,0.196240453814,21
long,0.105030848497,0.0936974153525,0.198416013088,23
start,0.10608755396,0.0532642539105,0.216307790034,23
open,0.107893172166,0.184602723276,0.248531297991,23
hope,0.107910508698,0.0181189558962,0.532093132712,23
recorded,0.108124148014,-0.0843480398818,0.239864504099,7
