item,frequency
stakkars,3.42455700909e-05
pannekake,2.93533457922e-05
brus,0.000278856785026
nå,0.002260207626
genser,0.000171227850454
brun,0.000146766728961
tilbake,8.31678130779e-05
skole,0.000283749009325
papir,0.000102736710273
var,0.000831678130779
høy,3.91377943896e-05
når,0.00353218594366
hei,0.000425623513987
skjorte,9.7844485974e-06
hode,0.000445192411182
ødelegge,7.82755887792e-05
stor,0.00174163185034
søster,1.95688971948e-05
frosk,3.42455700909e-05
ha,0.00706926411162
børste,0.000161443401857
fort,0.000376701271
jente,0.000479437981273
ute,0.0011398882616
blomst,0.000200581196247
potetgull,1.95688971948e-05
kasse,2.93533457922e-05
åpne,0.000332671252312
natt,0.000254395663532
jakke,9.29522616753e-05
kaffe,0.00015165895326
miste,0.000229934542039
bedre,0.00015165895326
klatre,0.000132090056065
lys,0.000503899102766
kjole,8.80600373766e-05
drikke,0.000846354803675
bilde,0.00045008463548
av,0.00269561558858
mye,0.000317994579415
sandaler,1.46766728961e-05
rydde,0.000146766728961
eller,0.00215257869143
sekk,0.000136982280364
lastebil,3.91377943896e-05
til,0.00171717072884
ny,0.000347347925208
rosiner,0.000141874504662
disse,0.000136982280364
tid,0.00022504231774
stikke,4.8922242987e-05
oldefar,4.8922242987e-06
politi,7.33833644805e-05
la,0.000156551177558
også,0.000919738168156
helle,0.000386485719597
ødelagt,0.000215257869143
lang,0.00026418011213
huske,0.000958875962545
hvert,2.44611214935e-05
fest,5.87066915844e-05
burde,9.7844485974e-06
ren,1.46766728961e-05
vannslange,4.8922242987e-06
god,0.000303317906519
at,0.00364470710253
sin,0.00208897977554
velte,0.000127197831766
få,0.00213790201853
