word,word_count,mean_sent_length,final_count,solo_count
accarezzo,1.0,2.0,1.0,0.0
stirare,9.0,8.55555555556,4.0,1.0
orsettin,1.0,12.0,0.0,0.0
fiume,4.0,17.25,0.0,0.0
risponde,11.0,9.18181818182,4.0,0.0
rispondi,17.0,7.0,8.0,3.0
panorama,1.0,5.0,1.0,0.0
nove,13.0,4.46153846154,5.0,1.0
levavo,1.0,10.0,0.0,0.0
nova,1.0,3.0,1.0,0.0
fiumi,2.0,20.0,0.0,0.0
so',2.0,6.5,0.0,0.0
formine,1.0,7.0,0.0,0.0
dipinge,1.0,3.0,0.0,0.0
verde,31.0,5.51612903226,17.0,0.0
peperoni,3.0,8.66666666667,1.0,1.0
peperone,3.0,3.66666666667,2.0,0.0
dipingi,2.0,11.5,0.0,0.0
verdi,5.0,9.2,3.0,0.0
pesa,4.0,2.75,2.0,1.0
panettone,1.0,9.0,0.0,0.0
pesi,3.0,8.66666666667,1.0,0.0
fratellaccio,1.0,22.0,0.0,0.0
peso,5.0,8.4,1.0,0.0
cucchiaini,6.0,7.16666666667,4.0,0.0
fermo,15.0,9.13333333333,5.0,1.0
ahio,4.0,3.75,2.0,1.0
fermi,3.0,11.0,0.0,0.0
cucchiaino,66.0,6.78787878788,31.0,1.0
ferme,4.0,6.0,2.0,0.0
ferma,19.0,7.36842105263,7.0,1.0
ahia,5.0,2.8,3.0,2.0
avviso,1.0,13.0,1.0,0.0
avvisa,1.0,4.0,0.0,0.0
scritta,5.0,18.0,1.0,0.0
scritte,1.0,6.0,1.0,0.0
facilità,1.0,11.0,0.0,0.0
scritto,43.0,9.32558139535,9.0,0.0
ritti,2.0,9.0,1.0,0.0
pomodori,11.0,5.09090909091,6.0,1.0
vualà,2.0,4.0,1.0,0.0
ritto,2.0,9.5,0.0,0.0
ritta,1.0,1.0,1.0,1.0
salviamolo,2.0,2.0,2.0,1.0
pomodoro,17.0,3.70588235294,13.0,3.0
tenerlo,2.0,5.0,0.0,0.0
aiuti,13.0,7.15384615385,6.0,0.0
tenerli,2.0,9.5,0.0,0.0
tenerla,3.0,17.6666666667,0.0,0.0
aiuto,55.0,3.89090909091,31.0,16.0
passare,12.0,11.0833333333,7.0,0.0
Venezia,2.0,8.0,2.0,0.0
sbaglia,3.0,8.66666666667,2.0,0.0
chiusa,13.0,6.69230769231,7.0,1.0
chiuse,2.0,15.0,1.0,0.0
chiusi,16.0,7.5625,12.0,0.0
bussato,2.0,8.5,1.0,0.0
