language,form,measure,lexical_category,mean,ci_lower,ci_upper,instrument
Hebrew,WG,produces,Predicates,-0.0768490832797219,-0.0855010063976726,-0.0550918777884774,Hebrew WG
Hebrew,WG,understands,Function Words,-0.0517059318890245,-0.0774525075954535,-0.0386867927092298,Hebrew WG
Hebrew,WG,understands,Nouns,0.013310737231006,0.00352708949494511,0.0226703516284137,Hebrew WG
Hebrew,WG,understands,Predicates,-0.0127787448123655,-0.0301009787982297,0.00193718767126936,Hebrew WG
Hebrew,WS,produces,Function Words,-0.0948454518090619,-0.104989144956769,-0.0790986602823178,Hebrew WS
Hebrew,WS,produces,Nouns,0.053154548620717,0.0471486769735359,0.0588760436207702,Hebrew WS
Hebrew,WS,produces,Predicates,-0.0804013655506314,-0.0902053137279498,-0.0677296279533354,Hebrew WS
Italian,WG,produces,Function Words,-0.200637222157692,-0.233229933428647,-0.164080203830815,Italian WG
Italian,WG,produces,Nouns,0.060368025717696,0.0478728323815795,0.0767190358357894,Italian WG
Italian,WG,produces,Predicates,-0.0570357210141113,-0.0756689251756233,-0.0425783702961119,Italian WG
Italian,WG,understands,Function Words,-0.170169644031218,-0.181256364357878,-0.162792459103669,Italian WG
Italian,WG,understands,Nouns,0.0194015406413217,0.0175844005554188,0.0233784651716113,Italian WG
Italian,WG,understands,Predicates,0.0261592995995319,0.0216925228678292,0.0295368573958963,Italian WG
Italian,WS,produces,Function Words,-0.108064069001916,-0.115881912434324,-0.0995913214767195,Italian WS
Italian,WS,produces,Nouns,0.0571958969618567,0.0550161800183729,0.0595482927433256,Italian WS
Italian,WS,produces,Predicates,-0.0496047067487301,-0.0550854908870492,-0.0460256637511851,Italian WS
Mandarin,WS,produces,Function Words,-0.175246119143991,-0.181701858132379,-0.169225027766418,Mandarin WS
Mandarin,WS,produces,Nouns,0.00467344398641307,0.00182841470262956,0.00748340424596363,Mandarin WS
Mandarin,WS,produces,Predicates,0.0691553021228864,0.0662051990754339,0.0721870119123578,Mandarin WS
Norwegian,WG,produces,Function Words,-0.149301781185585,-0.156420384920054,-0.139253111342079,Norwegian WG
Norwegian,WG,produces,Nouns,0.0668013475369321,0.0631890964862877,0.0708378483251944,Norwegian WG
Norwegian,WG,produces,Predicates,-0.0749630433268788,-0.0816701257959011,-0.0715109994519676,Norwegian WG
Norwegian,WG,understands,Function Words,-0.113234178622703,-0.116285004046114,-0.109231577413221,Norwegian WG
Norwegian,WG,understands,Nouns,0.0315892089475412,0.0309169923075588,0.0322787081067991,Norwegian WG
Norwegian,WG,understands,Predicates,-0.0163590451949948,-0.0183529150306363,-0.014260926722143,Norwegian WG
Norwegian,WS,produces,Function Words,-0.146664726531254,-0.14789222926406,-0.14600139781462,Norwegian WS
Norwegian,WS,produces,Nouns,0.0691557607859763,0.0681453804001477,0.0699286985212847,Norwegian WS
Norwegian,WS,produces,Predicates,-0.0141746836659829,-0.0151127354890091,-0.0132264663725249,Norwegian WS
Russian,WG,produces,Function Words,-0.0142010921053611,-0.0649395897833478,0.0539424591418134,Russian WG
Russian,WG,produces,Nouns,0.0206580263166491,0.00748947781339519,0.0331959826430238,Russian WG
Russian,WG,produces,Predicates,-0.0257566077884249,-0.0548479003802691,0.000252815983349531,Russian WG
Russian,WG,understands,Function Words,-0.0811474815465236,-0.0906820666682995,-0.0749924964829492,Russian WG
Russian,WG,understands,Nouns,0.00568419309417205,0.00217852277806984,0.00917115282016033,Russian WG
Russian,WG,understands,Predicates,0.0181026456634059,0.0138425300136451,0.0211234021794753,Russian WG
Russian,WS,produces,Function Words,-0.13063656349694,-0.135791532096506,-0.125343329414112,Russian WS
Russian,WS,produces,Nouns,0.0579990056970575,0.054879841219996,0.0614677004602004,Russian WS
Russian,WS,produces,Predicates,-0.0269362920179792,-0.0304143019823354,-0.0242056932646701,Russian WS
Spanish,WG,produces,Function Words,-0.142958503834338,-0.1769463744341,-0.10868337204164,Spanish WG
Spanish,WG,produces,Nouns,0.0476535250774188,0.0264569564114028,0.0713539371289831,Spanish WG
Spanish,WG,produces,Predicates,-0.0245836867920307,-0.0832488282187226,0.00431240678883711,Spanish WG
Spanish,WG,understands,Function Words,-0.0809811576956084,-0.0896413497034227,-0.0704798957975035,Spanish WG
Spanish,WG,understands,Nouns,0.023007959985574,0.0194050141047789,0.0275866254785216,Spanish WG
