item,probability,frequency
sol,0.000189853458929,0.000190403928334
stol,0.000473524880557,0.000473862408109
lunch,9.21018636251e-07,1.14528678697e-05
gris,0.000503611396076,0.000503926186267
varsågod,5.60936773943e-06,2.86321696742e-05
trappa,0.000280595262808,3.14953866417e-05
skorpa,0.000280595262808,1.43160848371e-05
ärtor,0.000280595262808,8.58965090227e-06
kopp,3.65705199369e-05,3.72218205765e-05
docka,0.000280595262808,0.000282026871291
dansa,0.000280595262808,9.73493768924e-05
slå,0.000172661493752,0.000173224626529
mun,0.000103894877114,0.000104507419311
snabb,3.0671794334e-06,2.57689527068e-05
åka,0.00178157486557,0.00178092095374
nu,0.00961268898318,0.00960609292571
hammare,0.000280595262808,6.29907732833e-05
vill /vill ha,0.000280595262808,0.00305791572121
godis,0.000363207788496,0.000363628554863
stygg,1.41075064634e-07,2.86321696742e-06
knapp,6.95135736065e-05,7.01488157019e-05
smutsig,0.000280595262808,1.14528678697e-05
söt,8.24062380602e-05,8.30332920553e-05
hund,0.00106522731778,0.00106511671188
sch /hysch,0.000280595262808,6.01275563159e-05
giraff,0.000101029681905,0.000101644202344
upp,0.00328733780922,0.00328554147012
bryta,0.000280595262808,1.71793018045e-05
några,0.000280595262808,3.86534290602e-05
lärare,0.000280595262808,4.58114714788e-05
anka,0.000280595262808,0.00021617288104
smör,0.000237131647046,0.000237647008296
fisk,0.000457765282062,0.000458114714788
bort,0.00133027587531,0.00132996428137
tittut,0.0001296820184,0.000130276372018
tack,0.000775823054966,0.000775931798172
gå,0.00155950709824,0.00155902163876
farmor,0.000280595262808,5.72643393485e-06
kyckling,7.09460639597e-05,7.15804241856e-05
bakom,0.000192718793033,0.000193267145301
!!!!!,0.000280595262808,0.0
på,0.0129064562775,0.0128973608298
banan,0.000142575773884,0.000143160848371
trasig,0.000280595262808,1.0021259386e-05
arm,0.000250025748419,0.00025053148465
barn,0.000732842241309,0.00073298354366
köra,0.000280595262808,0.00205292656564
faster,0.000280595262808,0.000654245077056
blomma,0.000280595262808,0.000460977931755
nej,0.000608197926355,0.000608433605578
mus,0.000323092561993,0.000323543517319
garage,0.000280595262808,4.00850375439e-05
flicka,0.000280595262808,0.000369354988798
god,0.000394726930779,0.000395123941504
simma,0.000280595262808,0.000209014838622
krama,0.000280595262808,7.4443641153e-05
fat,1.91671445923e-06,1.43160848371e-05
russin,0.000211322609318,2.72005611905e-05
skål,9.52993261798e-05,9.59177684087e-05
dag,8.52713387615e-05,8.58965090227e-05
kittla,0.000280595262808,5.72643393485e-06
ren,5.51892371117e-05,5.58327308648e-05
finger,0.000280595262808,1.71793018045e-05
mata,0.000280595262808,0.00055546409168
måne,0.000280595262808,6.29907732833e-05
sluta,0.000280595262808,0.000568348568034
tå,3.65705199369e-05,3.72218205765e-05
ner,0.0017171035767,0.00171649857197
byxa,0.000280595262808,0.000221899314975
rita,0.000280595262808,0.000999262721631
äpple,0.000280595262808,0.00011166546173
lampa,0.000280595262808,0.000110233853246
gråta,0.000280595262808,5.72643393485e-05
sten,0.000156902265141,0.000157476933208
bi,5.37568776914e-05,5.44011223811e-05
näsa,0.000280595262808,0.000153182107757
boll,0.000429111476683,0.000429482545114
hungrig,0.000280595262808,7.15804241856e-06
blöja,0.000280595262808,3.72218205765e-05
röra,0.000280595262808,0.000125981546567
flingor,0.000280595262808,2.29057357394e-05
läsa,0.000280595262808,0.000757320887884
mer,0.00167125732757,0.00167068710049
människor,0.000280595262808,7.15804241856e-05
macka,0.000280595262808,2.29057357394e-05
stjärna,0.000280595262808,5.58327308648e-05
brrr,1.41075064634e-07,2.86321696742e-06
ja,0.032094549169,0.0320708932521
mage,0.000280595262808,0.000343586036091
pingvin,1.82897317837e-06,2.0042518772e-05
titta,0.000280595262808,0.00495479696213
pärlor,0.000280595262808,1.71793018045e-05
vänta,0.000280595262808,0.000635634166768
kaffe,0.000280595262808,0.0003779446397
skräp,2.84068966353e-06,3.14953866417e-05
låda,0.000280595262808,8.58965090227e-05
trött,0.0001296820184,0.000130276372018
mjölk,0.000459197972682,0.000459546323272
buss,0.000459197972682,0.000459546323272
hoppa,0.000280595262808,0.000684308855214
dra,0.000212776174525,0.000213309664073
ponny,4.80276331025e-05,4.86746884462e-05
fot,0.0001296820184,0.000130276372018
himmel,1.91671445923e-06,1.43160848371e-05
papper,3.0660801985e-07,5.72643393485e-06
tuff tuff,0.000561190525615,0.000140297631404
medicin,2.84068966353e-06,3.14953866417e-05
samma,0.000280595262808,0.000161771758659
städa,0.000280595262808,7.4443641153e-05
dålig,0.000280595262808,4.29482545114e-06
stanna,0.000280595262808,0.000164634975627
springa,0.000280595262808,0.000446661846918
jeans,0.000280595262808,2.86321696742e-06
leksak,6.54582726564e-05,4.29482545114e-06
försiktig,0.000280595262808,1.14528678697e-05
ut,0.00268417298874,0.00268283429848
pussa,0.000280595262808,0.00012741315505
säga,0.000280595262808,0.000123118329599
kisse,0.000280595262808,0.000337859602156
