item,probability,frequency
shorts,0.0167509759987,4.8922242987e-06
park,7.51171072901e-06,9.7844485974e-06
dyne,0.0167509759987,3.91377943896e-05
hus,0.00151454968969,0.0015165895326
frokost,0.000187807175191,0.000190796747649
trapp,0.000354238674049,0.000357132373805
kinn,2.17289160288e-05,2.44611214935e-05
knapp,0.000114408046231,0.000117413383169
spise,0.0167509759987,0.00478948758843
lommebok,3.11189293624e-06,4.8922242987e-06
grei,1.21695167615e-05,1.46766728961e-05
and,0.000246543133734,0.000249503439234
appelsin,8.50661923269e-05,8.80600373766e-05
vondt,0.0167509759987,0.000772971439195
plaske,0.0167509759987,6.35989158831e-05
juice,0.0167509759987,4.8922242987e-05
øye,7.04048431472e-05,7.33833644805e-05
sau,1.21695167615e-05,1.46766728961e-05
min,0.00117673209942,0.00117902605599
bleie,0.000133977084211,0.000136982280364
takk,0.000373820603385,0.000376701271
lekegrind,3.11189293624e-06,4.8922242987e-06
dette,0.0167509759987,0.000807217009285
kam,1.69253276517e-05,1.95688971948e-05
regn,0.000133977084211,0.000136982280364
vise,0.0167509759987,0.000244611214935
veps,0.0167509759987,1.95688971948e-05
falle,0.0167509759987,1.46766728961e-05
ballong,0.000148656288497,0.00015165895326
lukke,0.0167509759987,0.00026418011213
sulten,0.0167509759987,2.44611214935e-05
ku,4.11303894644e-05,4.40300186883e-05
ingenting,0.000168230803716,0.000171227850454
skitten,0.0167509759987,3.42455700909e-05
radio,3.11189293624e-06,4.8922242987e-06
sykkel,0.000256333124831,0.000259287887831
inn,0.00122079518761,0.000611528037337
buss,0.000275913499576,0.000278856785026
himmel,3.14064997217e-05,3.42455700909e-05
komfyr,2.17289160288e-05,2.44611214935e-05
leke,0.0167509759987,0.00126708609336
briller,0.0167509759987,1.95688971948e-05
sparke,0.0167509759987,4.40300186883e-05
lue,7.04048431472e-05,7.33833644805e-05
kake,0.0167509759987,0.000479437981273
munn,0.000275913499576,0.000278856785026
stor,0.00173976193826,0.00174163185034
stol,0.000226963626073,0.000229934542039
mormor,1.21695167615e-05,1.46766728961e-05
danse,0.0167509759987,0.000107628934571
kopp,0.000246543133734,0.000249503439234
du,0.0390957946294,0.0390693032494
penger,0.0167509759987,5.87066915844e-05
vaske,0.0167509759987,0.000242165102786
bad,0.000662666551304,0.000665342504623
blomst,0.00019759589082,0.000200581196247
bak,0.000569646764077,0.000572390242948
klemme,0.0167509759987,3.42455700909e-05
skrive,0.0167509759987,6.84911401818e-05
hjem,0.000305284858727,0.000308210130818
inne,0.0167509759987,0.000611528037337
hammer,0.0167509759987,0.00011252115887
arm,8.99550845388e-05,9.29522616753e-05
inni,0.00171038641126,0.00171227850454
barn,9.97348022004e-05,0.000102736710273
hvorfor,5.57558288381e-05,5.87066915844e-05
mus,0.000182912939629,0.000185904523351
finger,6.22378587248e-06,5.38144672857e-05
tegne,0.0167509759987,0.000273964560727
garasje,0.0167509759987,3.42455700909e-05
jobb,0.0004178805638,0.000420731289688
ja,0.0321827241679,0.0321614825397
mage,0.0167509759987,0.000445192411182
