WORD,BFRQ,CNC,FAM,IMG,NPHN,NSYL
MINE,30,452,557,522,3,1
MITTENS,,,,,,
MONEY,88,574,631,604,4,2
MONKEY,,566,531,588,5,2
MOO,,,,,2,1
MOON,1,581,585,585,3,1
MOOSE,,616,518,604,3,1
MOP,,,443,,3,1
MORE,340,284,612,264,2,1
MORNING,58,515,605,579,5,2
MOUSE,2,624,520,615,3,1
MOUTH,10,568,572,613,3,1
MOVIE,1,590,523,571,4,2
MUCH,395,242,584,332,4,1
MUFFIN,,,,,5,2
MY,519,253,612,298,2,1
MYSELF,65,,,,6,2
NAIL,,598,563,588,3,1
NAP,,,,,3,1
NAPKIN,,585,495,582,6,2
NAUGHTY,,,501,407,4,2
NECKLACE,,633,536,606,6,2
NEED,59,314,589,327,3,1
NEW,127,348,614,418,3,1
NICE,155,279,583,375,3,1
NIGHT,67,496,636,607,3,1
NO,1283,318,605,361,2,1
NOISY,2,,609,215,4,2
NONE,18,288,569,425,3,1
NOODLES,,,,,,
NOSE,3,628,584,605,3,1
NOT,929,273,565,253,3,1
NOW,544,309,605,276,2,1
NURSE,4,588,537,617,3,1
NUTS,,,,,,
OF,4253,180,598,217,2,1
OFF,148,281,608,326,2,1
OLD,142,349,616,478,3,1
ON,1360,262,614,268,2,1
OPEN,28,381,581,425,4,2
ORANGE,3,601,567,626,5,2
OTHER,296,275,581,265,3,2
OUCH,,,,,,1
OUR,160,245,602,315,,1
OUR,160,245,602,315,2,2
OUT,491,249,608,330,2,1
OUTSIDE,25,,607,419,5,2
OVEN,,593,577,599,3,2
OVER,172,287,589,327,3,2
OWL,,614,477,595,2,1
PAINT,22,577,551,567,4,1
PAJAMAS,,,,,7,3
PANCAKE,,,,,6,2
PANTS,,619,575,630,4,1
PAPER,50,599,635,590,4,2
PARK,2,579,571,573,3,1
PARTY,13,496,619,596,4,2
PEAS,,,,,,
PEN,2,571,554,576,3,1
PENCIL,1,617,598,607,5,2
PENGUIN,,,360,,7,2
PENIS,,,,,5,2
PENNY,5,606,613,609,4,2
PEOPLE,533,540,628,548,,1
PEOPLE,533,540,628,548,4,2
PERSON,64,562,620,562,4,2
PICK,18,502,524,513,3,1
PICKLE,,606,562,641,4,2
PICNIC,,,,,6,2
PICTURE,24,579,597,581,6,2
PIG,1,614,509,635,3,1
PILLOW,1,613,602,624,4,2
PIZZA,,,,,,
PLANT,1,594,592,605,5,1
PLATE,2,595,556,527,4,1
PLAY,64,468,586,498,3,1
PLAYGROUND,,,,,8,2
PLEASE,25,,,,4,1
POLICE,9,,,,5,2
PONY,,611,524,642,4,2
POOL,2,573,541,577,3,1
POOR,19,311,548,447,2,1
POPCORN,,,,,,
PORCH,,596,455,586,4,1
POTATO,,629,612,617,6,3
POTTY,1,,,,4,2
POUR,2,356,545,495,2,1
PRESENT,34,389,569,481,6,2
PRESENT,34,389,569,481,7,2
PRETEND,5,,,,7,2
PRETTY,71,341,584,520,5,2
PRETZEL,,,,,,2
PUDDING,,593,510,588,5,2
PULL,18,360,565,446,3,1
PUMPKIN,,,,,7,2
PUPPY,,623,522,635,4,2
PURSE,3,572,533,567,3,1
PUSH,3,,564,395,3,1
PUT,158,287,539,263,3,1
PUZZLE,,449,486,510,4,2
QUIET,18,389,577,426,5,2
RADIO,15,615,644,613,5,3
RAIN,5,600,604,618,3,1
RAISIN,,,,,4,2
READ,238,420,568,499,3,1
RED,9,501,607,585,3,1
REFRIGERATOR,,574,545,612,11,5
RIDE,,424,576,483,3,1
RIP,3,,,,3,1
ROCK,2,600,583,612,3,1
ROOF,1,586,552,604,3,1
ROOM,89,566,627,545,3,1
